universal,region,rank,similarity
A photo of a greeting,germany,6,0.2482586492617369
A photo of a greeting,india,7,0.24793908134416684
A photo of a greeting,spain,8,0.24283859732267996
A photo of a greeting,nigeria,9,0.24119869219900095
A photo of a greeting,new zealand,10,0.24013669104726
A photo of a greeting,south africa,11,0.23481069943807956
A photo of a greeting,australia,12,0.23437546316543792
A photo of a greeting,brazil,13,0.2335728937776486
A photo of a greeting,canada,14,0.23341658938230433
A photo of a greeting,fiji,15,0.22980836813033156
A photo of a greeting,argentina,16,0.22474959589830232
A photo of a headcoverings,south africa,1,0.2708208536858994
A photo of a headcoverings,china,2,0.26276160064582416
A photo of a headcoverings,japan,3,0.26219084702328543
A photo of a headcoverings,spain,4,0.25992344980892196
A photo of a headcoverings,germany,5,0.25575702231486086
A photo of a headcoverings,egypt,6,0.2541228555171529
A photo of a headcoverings,india,7,0.24993134177075702
A photo of a headcoverings,fiji,8,0.24795828659347632
A photo of a headcoverings,argentina,9,0.24546023207862153
A photo of a headcoverings,nigeria,10,0.2410799018358892
A photo of a headcoverings,australia,11,0.23697603013615842
A photo of a headcoverings,canada,12,0.23438631879167202
A photo of a headcoverings,united kingdom,13,0.22995910102276076
A photo of a headcoverings,brazil,14,0.21132549126806022
A photo of a headcoverings,new zealand,15,0.21055262540367745
A photo of a headcoverings,united states of america,16,0.20636598112186522
A photo of a instrument,germany,1,0.28569151728974257
A photo of a instrument,argentina,2,0.280804183890676
A photo of a instrument,united states of america,3,0.27896877282851745
A photo of a instrument,canada,4,0.27863193201071185
A photo of a instrument,japan,5,0.27422511867182653
A photo of a instrument,china,6,0.26734240921857977
A photo of a instrument,australia,7,0.26357215824533475
A photo of a instrument,brazil,8,0.26354756091365655
A photo of a instrument,spain,9,0.2613901150543859
A photo of a instrument,united kingdom,10,0.2610223199748127
A photo of a instrument,nigeria,11,0.2603876114686586
A photo of a instrument,egypt,12,0.2598532279360824
A photo of a instrument,fiji,13,0.25436898448578976
A photo of a instrument,india,14,0.25403097229650434
A photo of a instrument,south africa,15,0.2527146517362641
A photo of a instrument,new zealand,16,0.22711945765242914
A photo of a lunch,japan,1,0.27784583468925805
A photo of a lunch,india,2,0.2596870544774644
A photo of a lunch,canada,3,0.25684456220603896
A photo of a lunch,fiji,4,0.24582774083661127
A photo of a lunch,china,5,0.24526928556443559
A photo of a lunch,nigeria,6,0.24521716790864168
A photo of a lunch,brazil,7,0.24493709928458665
A photo of a lunch,south africa,8,0.2429005371914661
A photo of a lunch,new zealand,9,0.24119558203062344
A photo of a lunch,united states of america,10,0.24068995846857444
A photo of a lunch,united kingdom,11,0.24027332384464758
A photo of a lunch,egypt,12,0.238667545625606
A photo of a lunch,germany,13,0.2376492290705899
A photo of a lunch,argentina,14,0.23187319228222336
A photo of a lunch,spain,15,0.23165655005620875
A photo of a lunch,australia,16,0.2297355036116612
A photo of a marriage,brazil,1,0.27961670732433336
A photo of a marriage,germany,2,0.2776918975351969
A photo of a marriage,india,3,0.277640089905278
A photo of a marriage,new zealand,4,0.2764193362453246
A photo of a marriage,argentina,5,0.276190731755461
A photo of a marriage,canada,6,0.2712037433403894
A photo of a marriage,egypt,7,0.270661190277891
A photo of a marriage,australia,8,0.26989648535752897
A photo of a marriage,united states of america,9,0.26812281057585724
A photo of a marriage,spain,10,0.2676362241922668
A photo of a marriage,south africa,11,0.2579024576217835
A photo of a marriage,fiji,12,0.2565598446170681
A photo of a marriage,united kingdom,13,0.256112842420995
A photo of a marriage,nigeria,14,0.25530486996792334
A photo of a marriage,china,15,0.25297632484569116
A photo of a marriage,japan,16,0.250800727095303
A photo of a music,spain,1,0.2529187371728793
A photo of a music,argentina,2,0.25145984492513285
A photo of a music,china,3,0.2511128350950567
A photo of a music,nigeria,4,0.2436097445088715
A photo of a music,australia,5,0.24332802252318567
A photo of a music,india,6,0.24252940782826235
A photo of a music,germany,7,0.2419205452130313
A photo of a music,united kingdom,8,0.23923568172400225
A photo of a music,japan,9,0.2343748212650658
A photo of a music,egypt,10,0.23413910097850546
A photo of a music,new zealand,11,0.23236486022727895
A photo of a music,canada,12,0.23092920290343857
A photo of a music,united states of america,13,0.23017606579519434
A photo of a music,fiji,14,0.2291150033316228
A photo of a music,south africa,15,0.22888706878095877
A photo of a music,brazil,16,0.22886606709310486
A photo of a religion,united states of america,1,0.2522423746869342
A photo of a religion,spain,2,0.24759745305099604
A photo of a religion,argentina,3,0.24390313297710145
A photo of a religion,new zealand,4,0.24247047133790964
A photo of a religion,canada,5,0.24232460123436497
A photo of a religion,australia,6,0.24039125088215343
A photo of a religion,egypt,7,0.23990256817050382
A photo of a religion,china,8,0.23964323487774988
A photo of a religion,brazil,9,0.23548565383946649
A photo of a religion,south africa,10,0.23363506563416284
A photo of a religion,united kingdom,11,0.2263671344885969
A photo of a religion,india,12,0.224291497390643
A photo of a religion,fiji,13,0.22398395546434538
A photo of a religion,germany,14,0.2234298211239023
A photo of a religion,nigeria,15,0.22164802629041738
A photo of a religion,japan,16,0.22018495527733242
A photo of a ritual,nigeria,1,0.2623949064028731
A photo of a ritual,united kingdom,2,0.25826623126182985
A photo of a ritual,argentina,3,0.25676296437751894
A photo of a ritual,india,4,0.2550826220936537
A photo of a ritual,spain,5,0.25477891616114756
A photo of a ritual,germany,6,0.2504368920261686
A photo of a ritual,fiji,7,0.2500760809128702
A photo of a ritual,japan,8,0.24905561991908157
A photo of a ritual,south africa,9,0.24393292154378246
A photo of a ritual,united states of america,10,0.24154569701754616
A photo of a ritual,china,11,0.2385280275474944
A photo of a ritual,australia,12,0.2383136711642582
A photo of a ritual,brazil,13,0.23546772627247317
A photo of a ritual,egypt,14,0.22999588277105257
A photo of a ritual,new zealand,15,0.2201035382958245
A photo of a ritual,canada,16,0.21855095014803813
A photo of a sports,japan,1,0.2599749332541622
A photo of a sports,india,2,0.2599572723327502
A photo of a sports,south africa,3,0.25298016664905326
A photo of a sports,argentina,4,0.2528184735438342
A photo of a sports,china,5,0.25162755573775547
A photo of a sports,germany,6,0.25072168470633555
A photo of a sports,spain,7,0.25033055281099326
A photo of a sports,new zealand,8,0.24952004264276137
A photo of a sports,united kingdom,9,0.248901863667312
A photo of a sports,canada,10,0.24832548496781906
A photo of a sports,egypt,11,0.24485564413054886
A photo of a sports,fiji,12,0.24325497129920023
A photo of a sports,united states of america,13,0.24099610234621768
A photo of a sports,australia,14,0.2403359458532173
A photo of a sports,brazil,15,0.2360627580983585
A photo of a sports,nigeria,16,0.22092844173287304
A photo of a transport,china,1,0.281194134852572
A photo of a transport,india,2,0.2797740510960806
A photo of a transport,brazil,3,0.276586697702129
A photo of a transport,south africa,4,0.2680498652305697
A photo of a transport,fiji,5,0.26697600779242864
A photo of a transport,nigeria,6,0.264596517071023
A photo of a transport,argentina,7,0.264017169643276
A photo of a transport,spain,8,0.26153680608122015
A photo of a transport,germany,9,0.2595676386741715
A photo of a transport,egypt,10,0.2586056080611228
A photo of a transport,australia,11,0.25849032889790596
A photo of a transport,new zealand,12,0.2568099486936161
A photo of a transport,united states of america,13,0.25633260246532474
A photo of a transport,japan,14,0.2549177317717839
A photo of a transport,united kingdom,15,0.2543278782324688
A photo of a transport,canada,16,0.25223670708625656
